commodity,year,month,price
Tomato,2015,1,1800
Tomato,2015,2,1600
Tomato,2015,3,1400
Tomato,2015,4,1200
Tomato,2015,5,1500
Tomato,2015,6,2000
Tomato,2015,7,2500
Tomato,2015,8,2200
Tomato,2015,9,1800
Tomato,2015,10,1200
Tomato,2015,11,1600
Tomato,2015,12,2000
Tomato,2016,1,1700
Tomato,2016,2,1500
Tomato,2016,3,1300
Tomato,2016,4,1100
Tomato,2016,5,1400
Tomato,2016,6,1900
Tomato,2016,7,2400
Tomato,2016,8,2100
Tomato,2016,9,1700
Tomato,2016,10,1100
Tomato,2016,11,1500
Tomato,2016,12,1900
Tomato,2017,1,1750
Tomato,2017,2,1600
Tomato,2017,3,1450
Tomato,2017,4,900
Tomato,2017,5,950
Tomato,2017,6,1800
Tomato,2017,7,2600
Tomato,2017,8,2300
Tomato,2017,9,1850
Tomato,2017,10,1300
Tomato,2017,11,1650
Tomato,2017,12,2100
Tomato,2018,1,1850
Tomato,2018,2,1700
Tomato,2018,3,1550
Tomato,2018,4,2800
Tomato,2018,5,3200
Tomato,2018,6,2200
Tomato,2018,7,1500
Tomato,2018,8,1300
Tomato,2018,9,1200
Tomato,2018,10,1350
Tomato,2018,11,1800
Tomato,2018,12,2200
Tomato,2019,1,1900
Tomato,2019,2,1750
Tomato,2019,3,1600
Tomato,2019,4,3000
Tomato,2019,5,3400
Tomato,2019,6,2400
Tomato,2019,7,1550
Tomato,2019,8,1350
Tomato,2019,9,1250
Tomato,2019,10,1450
Tomato,2019,11,1900
Tomato,2019,12,2300
Tomato,2020,1,2000
Tomato,2020,2,1850
Tomato,2020,3,1700
Tomato,2020,4,800
Tomato,2020,5,850
Tomato,2020,6,2100
Tomato,2020,7,2700
Tomato,2020,8,2400
Tomato,2020,9,1900
Tomato,2020,10,1500
Tomato,2020,11,2000
Tomato,2020,12,2500
Tomato,2021,1,2100
Tomato,2021,2,1950
Tomato,2021,3,1800
Tomato,2021,4,3200
Tomato,2021,5,3600
Tomato,2021,6,2600
Tomato,2021,7,1800
Tomato,2021,8,1550
Tomato,2021,9,1450
Tomato,2021,10,1650
Tomato,2021,11,2150
Tomato,2021,12,2700
Tomato,2022,1,2200
Tomato,2022,2,2050
Tomato,2022,3,1900
Tomato,2022,4,3400
Tomato,2022,5,3800
Tomato,2022,6,2800
Tomato,2022,7,1900
Tomato,2022,8,1650
Tomato,2022,9,1550
Tomato,2022,10,1750
Tomato,2022,11,2300
Tomato,2022,12,2900
Tomato,2023,1,2300
Tomato,2023,2,2150
Tomato,2023,3,2000
Tomato,2023,4,1000
Tomato,2023,5,1050
Tomato,2023,6,2400
Tomato,2023,7,3000
Tomato,2023,8,2700
Tomato,2023,9,2100
Tomato,2023,10,1850
Tomato,2023,11,2500
Tomato,2023,12,3100
Tomato,2024,1,2400
Tomato,2024,2,2250
Tomato,2024,3,2100
Tomato,2024,4,1100
Tomato,2024,5,1150
Tomato,2024,6,2600
Tomato,2024,7,3200
Tomato,2024,8,2900
Tomato,2024,9,2250
Tomato,2024,10,1950
Tomato,2024,11,2700
Tomato,2024,12,3300

Onion,2015,1,1200
Onion,2015,2,1100
Onion,2015,3,1000
Onion,2015,4,900
Onion,2015,5,800
Onion,2015,6,1200
Onion,2015,7,1500
Onion,2015,8,2000
Onion,2015,9,1800
Onion,2015,10,1400
Onion,2015,11,1300
Onion,2015,12,1200
Onion,2016,1,1250
Onion,2016,2,1150
Onion,2016,3,1050
Onion,2016,4,950
Onion,2016,5,850
Onion,2016,6,1300
Onion,2016,7,1600
Onion,2016,8,2100
Onion,2016,9,1900
Onion,2016,10,1450
Onion,2016,11,1350
Onion,2016,12,1250
Onion,2017,1,1300
Onion,2017,2,1200
Onion,2017,3,1100
Onion,2017,4,1000
